Country,CountryCode,Name,Sport,Sport-short,Event,Medal
Czech Republic,CZE,DRAHONINSKY David,Archery,ARC,Men's Individual - W1,Gold Medal
People's Republic of China,CHN,HE Zihao,Archery,ARC,Men's Individual Compound - Open,Gold Medal
United States of America,USA,MATHER Kevin,Archery,ARC,Men's Individual Recurve - Open,Gold Medal
People's Republic of China,CHN,CHEN Minyi,Archery,ARC,Women's Individual - W1,Gold Medal
Great Britain,GBR,PATERSON PINE Phoebe,Archery,ARC,Women's Individual Compound - Open,Gold Medal
Islamic Republic of Iran,IRI,NEMATI Zahra,Archery,ARC,Women's Individual Recurve - Open,Gold Medal
People's Republic of China,CHN,CHEN Minyi,Archery,ARC,Mixed Team - W1,Gold Medal
People's Republic of China,CHN,ZHANG Tianxin,Archery,ARC,Mixed Team - W1,Gold Medal
People's Republic of China,CHN,HE Zihao,Archery,ARC,Mixed Team Compound - Open,Gold Medal
People's Republic of China,CHN,LIN Yueshan,Archery,ARC,Mixed Team Compound - Open,Gold Medal
RPC,RPC,SIDORENKO Margarita,Archery,ARC,Mixed Team Recurve - Open,Gold Medal
RPC,RPC,SMIRNOV Kirill,Archery,ARC,Mixed Team Recurve - Open,Gold Medal
Greece,GRE,GHAVELAS Athanasios,Athletics,ATH,Men's 100m - T11,Gold Medal
Norway,NOR,KASHAFALI Salum Ageze,Athletics,ATH,Men's 100m - T12,Gold Medal
Ireland,IRL,SMYTH Jason,Athletics,ATH,Men's 100m - T13,Gold Medal
Great Britain,GBR,SMALL Andrew,Athletics,ATH,Men's 100m - T33,Gold Medal
Tunisia,TUN,KTILA Walid,Athletics,ATH,Men's 100m - T34,Gold Medal
RPC,RPC,SAFRONOV Dmitrii,Athletics,ATH,Men's 100m - T35,Gold Medal
People's Republic of China,CHN,DENG Peicheng,Athletics,ATH,Men's 100m - T36,Gold Medal
United States of America,USA,MAYHUGH Nick,Athletics,ATH,Men's 100m - T37,Gold Medal
Great Britain,GBR,YOUNG Thomas,Athletics,ATH,Men's 100m - T38,Gold Medal
Brazil,BRA,FERREIRA dos SANTOS Petrucio,Athletics,ATH,Men's 100m - T47,Gold Medal
Belgium,BEL,GENYN Peter,Athletics,ATH,Men's 100m - T51,Gold Medal
United States of America,USA,MARTIN Raymond,Athletics,ATH,Men's 100m - T52,Gold Medal
Thailand,THA,PAEYO Pongsakorn,Athletics,ATH,Men's 100m - T53,Gold Medal
Thailand,THA,PAENG-NUEA Athiwat,Athletics,ATH,Men's 100m - T54,Gold Medal
RPC,RPC,PROKHOROV Anton,Athletics,ATH,Men's 100m - T63,Gold Medal
Germany,GER,STRENG Felix,Athletics,ATH,Men's 100m - T64,Gold Medal
Brazil,BRA,JACQUES Yeltsin,Athletics,ATH,Men's 1500m - T11,Gold Medal
RPC,RPC,KULIATIN Anton,Athletics,ATH,Men's 1500m - T13,Gold Medal
Great Britain,GBR,MILLER Owen,Athletics,ATH,Men's 1500m - T20,Gold Medal
Canada,CAN,RIECH Nate,Athletics,ATH,Men's 1500m - T38,Gold Medal
RPC,RPC,IAREMCHUK Aleksandr,Athletics,ATH,Men's 1500m - T46,Gold Medal
Japan,JPN,SATO Tomoki,Athletics,ATH,Men's 1500m - T52,Gold Medal
Switzerland,SUI,HUG Marcel,Athletics,ATH,Men's 1500m - T54,Gold Medal
RPC,RPC,SAFRONOV Dmitrii,Athletics,ATH,Men's 200m - T35,Gold Medal
United States of America,USA,MAYHUGH Nick,Athletics,ATH,Men's 200m - T37,Gold Medal
Finland,FIN,PIISPANEN Toni,Athletics,ATH,Men's 200m - T51,Gold Medal
South Africa,RSA,MAHLANGU Ntando,Athletics,ATH,Men's 200m - T61,Gold Medal
Costa Rica,CRC,GUITY GUITY Sherman Isidro,Athletics,ATH,Men's 200m - T64,Gold Medal
Spain,ESP,DESCARREGA PUIGDEVALL Gerard,Athletics,ATH,Men's 400m - T11,Gold Medal
Morocco,MAR,HILI Abdeslam,Athletics,ATH,Men's 400m - T12,Gold Medal
Algeria,ALG,ATHMANI Skander Djamil,Athletics,ATH,Men's 400m - T13,Gold Medal
France,FRA,KOUAKOU Charles-Antoine,Athletics,ATH,Men's 400m - T20,Gold Medal
Australia,AUS,TURNER James,Athletics,ATH,Men's 400m - T36,Gold Medal
RPC,RPC,VDOVIN Andrei,Athletics,ATH,Men's 400m - T37,Gold Medal
Mexico,MEX,CHESSANI GARCIA Jose Rodolfo,Athletics,ATH,Men's 400m - T38,Gold Medal
Morocco,MAR,SADNI Ayoub,Athletics,ATH,Men's 400m - T47,Gold Medal
Japan,JPN,SATO Tomoki,Athletics,ATH,Men's 400m - T52,Gold Medal
Thailand,THA,PAEYO Pongsakorn,Athletics,ATH,Men's 400m - T53,Gold Medal
United States of America,USA,ROMANCHUK Daniel,Athletics,ATH,Men's 400m - T54,Gold Medal
Germany,GER,FLOORS Johannes,Athletics,ATH,Men's 400m - T62,Gold Medal
Brazil,BRA,JACQUES Yeltsin,Athletics,ATH,Men's 5000m - T11,Gold Medal
Spain,ESP,OUHDADI EL ATABY Yassine,Athletics,ATH,Men's 5000m - T13,Gold Medal
Switzerland,SUI,HUG Marcel,Athletics,ATH,Men's 5000m - T54,Gold Medal
Tunisia,TUN,KTILA Walid,Athletics,ATH,Men's 800m - T34,Gold Medal
Thailand,THA,PAEYO Pongsakorn,Athletics,ATH,Men's 800m - T53,Gold Medal
Switzerland,SUI,HUG Marcel,Athletics,ATH,Men's 800m - T54,Gold Medal
People's Republic of China,CHN,LIU Li,Athletics,ATH,Men's Club Throw - F32,Gold Medal
RPC,RPC,TAIMAZOV Musa,Athletics,ATH,Men's Club Throw - F51,Gold Medal
Brazil,BRA,da SILVA Alessandro Rodrigo,Athletics,ATH,Men's Discus Throw - F11,Gold Medal
Pakistan,PAK,ALI Haider,Athletics,ATH,Men's Discus Throw - F37,Gold Medal
Poland,POL,KOSEWICZ Piotr,Athletics,ATH,Men's Discus Throw - F52,Gold Medal
Brazil,BRA,BATISTA dos SANTOS Claudiney,Athletics,ATH,Men's Discus Throw - F56,Gold Medal
United States of America,USA,CAMPBELL Jeremy,Athletics,ATH,Men's Discus Throw - F64,Gold Medal
United States of America,USA,TOWNSEND Roderick,Athletics,ATH,Men's High Jump - T47,Gold Medal
United States of America,USA,GREWE Sam,Athletics,ATH,Men's High Jump - T63,Gold Medal
Great Britain,GBR,BROOM-EDWARDS Jonathan,Athletics,ATH,Men's High Jump - T64,Gold Medal
Great Britain,GBR,PEMBROKE Daniel,Athletics,ATH,Men's Javelin Throw - F13,Gold Medal
Islamic Republic of Iran,IRI,AFROOZ Saeid,Athletics,ATH,Men's Javelin Throw - F34,Gold Medal
Colombia,COL,LEMOS RIVAS Jose Gregorio,Athletics,ATH,Men's Javelin Throw - F38,Gold Medal
People's Republic of China,CHN,SUN Pengxiang,Athletics,ATH,Men's Javelin Throw - F41,Gold Medal
Sri Lanka,SRI,HERATH MUDIYANSELAGE Dinesh Priyan.,Athletics,ATH,Men's Javelin Throw - F46,Gold Medal
Islamic Republic of Iran,IRI,AMIRI Hamed,Athletics,ATH,Men's Javelin Throw - F54,Gold Medal
Azerbaijan,AZE,HEIDARI Hamed,Athletics,ATH,Men's Javelin Throw - F57,Gold Medal
India,IND,SUMIT,Athletics,ATH,Men's Javelin Throw - F64,Gold Medal
People's Republic of China,CHN,DI Dongdong,Athletics,ATH,Men's Long Jump - T11,Gold Medal
Islamic Republic of Iran,IRI,KHOSRAVANI Amir,Athletics,ATH,Men's Long Jump - T12,Gold Medal
Azerbaijan,AZE,ASLANOV Orkhan,Athletics,ATH,Men's Long Jump - T13,Gold Medal
Malaysia,MAS,ROMLY Abdul Latif,Athletics,ATH,Men's Long Jump - T20,Gold Medal
RPC,RPC,TORSUNOV Evgenii,Athletics,ATH,Men's Long Jump - T36,Gold Medal
Ukraine,UKR,ZAHREBELNYI Vladyslav,Athletics,ATH,Men's Long Jump - T37,Gold Medal
People's Republic of China,CHN,ZHU Dening,Athletics,ATH,Men's Long Jump - T38,Gold Medal
Cuba,CUB,SOL CERVANTES Robiel Yankiel,Athletics,ATH,Men's Long Jump - T47,Gold Medal
South Africa,RSA,MAHLANGU Ntando,Athletics,ATH,Men's Long Jump - T63,Gold Medal
Germany,GER,REHM Markus,Athletics,ATH,Men's Long Jump - T64,Gold Medal
Morocco,MAR,CHENTOUF El Amin,Athletics,ATH,Men's Marathon - T12,Gold Medal
People's Republic of China,CHN,LI Chaoyan,Athletics,ATH,Men's Marathon - T46,Gold Medal
Switzerland,SUI,HUG Marcel,Athletics,ATH,Men's Marathon - T54,Gold Medal
Islamic Republic of Iran,IRI,OLAD Mahdi,Athletics,ATH,Men's Shot Put - F11,Gold Medal
Spain,ESP,LOPEZ GONZALEZ Kim,Athletics,ATH,Men's Shot Put - F12,Gold Medal
Ukraine,UKR,KOVAL Maksym,Athletics,ATH,Men's Shot Put - F20,Gold Medal
People's Republic of China,CHN,LIU Li,Athletics,ATH,Men's Shot Put - F32,Gold Medal
Morocco,MAR,DERHEM Zakariae,Athletics,ATH,Men's Shot Put - F33,Gold Medal
Jordan,JOR,HINDI Ahmad,Athletics,ATH,Men's Shot Put - F34,Gold Medal
Uzbekistan,UZB,NORBEKOV Khusniddin,Athletics,ATH,Men's Shot Put - F35,Gold Medal
RPC,RPC,SVIRIDOV Vladimir,Athletics,ATH,Men's Shot Put - F36,Gold Medal
RPC,RPC,KHINCHAGOV Albert,Athletics,ATH,Men's Shot Put - F37,Gold Medal
RPC,RPC,GNEZDILOV Denis,Athletics,ATH,Men's Shot Put - F40,Gold Medal
Uzbekistan,UZB,OMONOV Bobirjon,Athletics,ATH,Men's Shot Put - F41,Gold Medal
Canada,CAN,STEWART Greg,Athletics,ATH,Men's Shot Put - F46,Gold Medal
Azerbaijan,AZE,ASTANOV Elvin,Athletics,ATH,Men's Shot Put - F53,Gold Medal
Brazil,BRA,SANTOS Wallace,Athletics,ATH,Men's Shot Put - F55,Gold Medal
People's Republic of China,CHN,WU Guoshan,Athletics,ATH,Men's Shot Put - F57,Gold Medal
Great Britain,GBR,DAVIES Aled,Athletics,ATH,Men's Shot Put - F63,Gold Medal
Venezuela,VEN,PEREZ LOPEZ Linda Patricia,Athletics,ATH,Women's 100m - T11,Gold Medal
Cuba,CUB,DURAND ELIAS Omara,Athletics,ATH,Women's 100m - T12,Gold Medal
Spain,ESP,IGLESIAS FORNEIRO Adiaratou,Athletics,ATH,Women's 100m - T13,Gold Medal
Great Britain,GBR,COCKROFT Hannah,Athletics,ATH,Women's 100m - T34,Gold Medal
People's Republic of China,CHN,ZHOU Xia,Athletics,ATH,Women's 100m - T35,Gold Medal
People's Republic of China,CHN,SHI Yiting,Athletics,ATH,Women's 100m - T36,Gold Medal
People's Republic of China,CHN,WEN Xiaoyan,Athletics,ATH,Women's 100m - T37,Gold Medal
Great Britain,GBR,HAHN Sophie,Athletics,ATH,Women's 100m - T38,Gold Medal
Venezuela,VEN,VERA ANDRADE Lisbeli Marina,Athletics,ATH,Women's 100m - T47,Gold Medal
People's Republic of China,CHN,GAO Fang,Athletics,ATH,Women's 100m - T53,Gold Medal
People's Republic of China,CHN,ZHOU Zhaoqian,Athletics,ATH,Women's 100m - T54,Gold Medal
Italy,ITA,SABATINI Ambra,Athletics,ATH,Women's 100m - T63,Gold Medal
Netherlands,NED,van GANSEWINKEL Marlene,Athletics,ATH,Women's 100m - T64,Gold Medal
Mexico,MEX,RODRIGUEZ SAAVEDRA Monica Olivia,Athletics,ATH,Women's 1500m - T11,Gold Medal
Ethiopia,ETH,MENIGSTU Tigist Gezahagn,Athletics,ATH,Women's 1500m - T13,Gold Medal
Poland,POL,BIEGANOWSKA-ZAJAC Barbara,Athletics,ATH,Women's 1500m - T20,Gold Medal
People's Republic of China,CHN,ZHOU Zhaoqian,Athletics,ATH,Women's 1500m - T54,Gold Medal
People's Republic of China,CHN,LIU Cuiqing,Athletics,ATH,Women's 200m - T11,Gold Medal
Cuba,CUB,DURAND ELIAS Omara,Athletics,ATH,Women's 200m - T12,Gold Medal
People's Republic of China,CHN,ZHOU Xia,Athletics,ATH,Women's 200m - T35,Gold Medal
People's Republic of China,CHN,SHI Yiting,Athletics,ATH,Women's 200m - T36,Gold Medal
People's Republic of China,CHN,WEN Xiaoyan,Athletics,ATH,Women's 200m - T37,Gold Medal
Venezuela,VEN,VERA ANDRADE Lisbeli Marina,Athletics,ATH,Women's 200m - T47,Gold Medal
Netherlands,NED,van GANSEWINKEL Marlene,Athletics,ATH,Women's 200m - T64,Gold Medal
People's Republic of China,CHN,LIU Cuiqing,Athletics,ATH,Women's 400m - T11,Gold Medal
Cuba,CUB,DURAND ELIAS Omara,Athletics,ATH,Women's 400m - T12,Gold Medal
Azerbaijan,AZE,VALIYEVA Lamiya,Athletics,ATH,Women's 400m - T13,Gold Medal
United States of America,USA,CLARK Breanna,Athletics,ATH,Women's 400m - T20,Gold Medal
People's Republic of China,CHN,JIANG Fenfen,Athletics,ATH,Women's 400m - T37,Gold Medal
Germany,GER,AVE Lindy,Athletics,ATH,Women's 400m - T38,Gold Medal
South Africa,RSA,WEYERS Anrune,Athletics,ATH,Women's 400m - T47,Gold Medal
Switzerland,SUI,DEBRUNNER Catherine,Athletics,ATH,Women's 400m - T53,Gold Medal
Switzerland,SUI,SCHAER Manuela,Athletics,ATH,Women's 400m - T54,Gold Medal
United States of America,USA,SCARONI Susannah,Athletics,ATH,Women's 5000m - T54,Gold Medal
Great Britain,GBR,COCKROFT Hannah,Athletics,ATH,Women's 800m - T34,Gold Medal
Australia,AUS,de ROZARIO Madison,Athletics,ATH,Women's 800m - T53,Gold Medal
Switzerland,SUI,SCHAER Manuela,Athletics,ATH,Women's 800m - T54,Gold Medal
Poland,POL,KOZAKOWSKA Roza,Athletics,ATH,Women's Club Throw - F32,Gold Medal
Ukraine,UKR,OVSII Zoia,Athletics,ATH,Women's Club Throw - F51,Gold Medal
People's Republic of China,CHN,ZHANG Liangmin,Athletics,ATH,Women's Discus Throw - F11,Gold Medal
People's Republic of China,CHN,MI Na,Athletics,ATH,Women's Discus Throw - F38,Gold Medal
Tunisia,TUN,TLILI Raoua,Athletics,ATH,Women's Discus Throw - F41,Gold Medal
Brazil,BRA,RODRIGUES GOMES Elizabeth,Athletics,ATH,Women's Discus Throw - F53,Gold Medal
People's Republic of China,CHN,DONG Feixia,Athletics,ATH,Women's Discus Throw - F55,Gold Medal
Uzbekistan,UZB,KHAMDAMOVA Mokhigul,Athletics,ATH,Women's Discus Throw - F57,Gold Medal
People's Republic of China,CHN,YAO Juan,Athletics,ATH,Women's Discus Throw - F64,Gold Medal
Uzbekistan,UZB,KAYUMOVA Nozimakhon,Athletics,ATH,Women's Javelin Throw - F13,Gold Medal
People's Republic of China,CHN,ZOU Lijuan,Athletics,ATH,Women's Javelin Throw - F34,Gold Medal
New Zealand,NZL,ROBINSON Holly,Athletics,ATH,Women's Javelin Throw - F46,Gold Medal
Nigeria,NGR,UGWUNWA Flora,Athletics,ATH,Women's Javelin Throw - F54,Gold Medal
Islamic Republic of Iran,IRI,MOTAGHIAN MOAVI Hashemiyeh,Athletics,ATH,Women's Javelin Throw - F56,Gold Medal
Brazil,BRA,COSTA de OLIVEIRA Silvania,Athletics,ATH,Women's Long Jump - T11,Gold Medal
Ukraine,UKR,ZUBKOVSKA Oksana,Athletics,ATH,Women's Long Jump - T12,Gold Medal
Poland,POL,KUCHARCZYK Karolina,Athletics,ATH,Women's Long Jump - T20,Gold Medal
People's Republic of China,CHN,WEN Xiaoyan,Athletics,ATH,Women's Long Jump - T37,Gold Medal
Hungary,HUN,EKLER Luca,Athletics,ATH,Women's Long Jump - T38,Gold Medal
New Zealand,NZL,GRIMALDI Anna,Athletics,ATH,Women's Long Jump - T47,Gold Medal
Australia,AUS,LOW Vanessa,Athletics,ATH,Women's Long Jump - T63,Gold Medal
Netherlands,NED,JONG Fleur,Athletics,ATH,Women's Long Jump - T64,Gold Medal
Japan,JPN,MICHISHITA Misato,Athletics,ATH,Women's Marathon - T12,Gold Medal
Australia,AUS,de ROZARIO Madison,Athletics,ATH,Women's Marathon - T54,Gold Medal
Uzbekistan,UZB,BURKHANOVA Safiya,Athletics,ATH,Women's Shot Put - F12,Gold Medal
Ecuador,ECU,MENDES SANCHEZ Poleth Isamar,Athletics,ATH,Women's Shot Put - F20,Gold Medal
Ukraine,UKR,MOSKALENKO Anastasiia,Athletics,ATH,Women's Shot Put - F32,Gold Medal
Algeria,ALG,BOUDJADAR Asmahane,Athletics,ATH,Women's Shot Put - F33,Gold Medal
People's Republic of China,CHN,ZOU Lijuan,Athletics,ATH,Women's Shot Put - F34,Gold Medal
Ukraine,UKR,POMAZAN Mariia,Athletics,ATH,Women's Shot Put - F35,Gold Medal
RPC,RPC,LIPATNIKOVA Galina,Athletics,ATH,Women's Shot Put - F36,Gold Medal
New Zealand,NZL,ADAMS Lisa,Athletics,ATH,Women's Shot Put - F37,Gold Medal
Poland,POL,SLIWINSKA Renata,Athletics,ATH,Women's Shot Put - F40,Gold Medal
Tunisia,TUN,TLILI Raoua,Athletics,ATH,Women's Shot Put - F41,Gold Medal
Chile,CHI,MARDONES SEPULVEDA Francisca,Athletics,ATH,Women's Shot Put - F54,Gold Medal
Algeria,ALG,DJELAL Safia,Athletics,ATH,Women's Shot Put - F57,Gold Medal
United States of America,USA,MALONE Noah,Athletics,ATH,4x100m Universal Relay,Gold Medal
United States of America,USA,MASON Brittni,Athletics,ATH,4x100m Universal Relay,Gold Medal
United States of America,USA,MAYHUGH Nick,Athletics,ATH,4x100m Universal Relay,Gold Medal
United States of America,USA,McFADDEN Tatyana,Athletics,ATH,4x100m Universal Relay,Gold Medal
People's Republic of China,CHN,MAI Jianpeng,Badminton,BDM,Men's Doubles WH,Gold Medal
People's Republic of China,CHN,QU Zimo,Badminton,BDM,Men's Doubles WH,Gold Medal
People's Republic of China,CHN,QU Zimo,Badminton,BDM,Men's Singles WH1,Gold Medal
Japan,JPN,KAJIWARA Daiki,Badminton,BDM,Men's Singles WH2,Gold Medal
India,IND,BHAGAT Pramod,Badminton,BDM,Men's Singles SL3,Gold Medal
France,FRA,MAZUR Lucas,Badminton,BDM,Men's Singles SL4,Gold Medal
Malaysia,MAS,CHEAH Liek Hou,Badminton,BDM,Men's Singles SU5,Gold Medal
India,IND,NAGAR Krishna,Badminton,BDM,Men's Singles SH6,Gold Medal
Japan,JPN,SATOMI Sarina,Badminton,BDM,Women's Doubles WH,Gold Medal
Japan,JPN,YAMAZAKI Yuma,Badminton,BDM,Women's Doubles WH,Gold Medal
Indonesia,INA,KHALIMATUS Sadiyah,Badminton,BDM,Women's Doubles SL3-SU5,Gold Medal
Indonesia,INA,LEANI RATRI Oktila,Badminton,BDM,Women's Doubles SL3-SU5,Gold Medal
Japan,JPN,SATOMI Sarina,Badminton,BDM,Women's Singles WH1,Gold Medal
People's Republic of China,CHN,LIU Yutong,Badminton,BDM,Women's Singles WH2,Gold Medal
People's Republic of China,CHN,CHENG Hefang,Badminton,BDM,Women's Singles SL4,Gold Medal
People's Republic of China,CHN,YANG Qiuxia,Badminton,BDM,Women's Singles SU5,Gold Medal
Indonesia,INA,HARY Susanto,Badminton,BDM,Mixed Doubles SL3-SU5,Gold Medal
Indonesia,INA,LEANI RATRI Oktila,Badminton,BDM,Mixed Doubles SL3-SU5,Gold Medal
Great Britain,GBR,SMITH David,Boccia,BOC,Individual - BC1,Gold Medal
Japan,JPN,SUGIMURA Hidetaka,Boccia,BOC,Individual - BC2,Gold Medal
Czech Republic,CZE,PESKA Adam,Boccia,BOC,Individual - BC3,Gold Medal
Slovakia,SVK,ANDREJCIK Samuel,Boccia,BOC,Individual - BC4,Gold Medal
Republic of Korea,KOR,CHOI Yejin,Boccia,BOC,Pairs - BC3,Gold Medal
Republic of Korea,KOR,JEONG Howon,Boccia,BOC,Pairs - BC3,Gold Medal
Republic of Korea,KOR,KIM Hansoo,Boccia,BOC,Pairs - BC3,Gold Medal
Slovakia,SVK,ANDREJCIK Samuel,Boccia,BOC,Pairs - BC4,Gold Medal
Slovakia,SVK,BALCOVA Michaela,Boccia,BOC,Pairs - BC4,Gold Medal
Slovakia,SVK,STREHARSKY Martin,Boccia,BOC,Pairs - BC4,Gold Medal
Thailand,THA,HUADPRADIT Witsanu,Boccia,BOC,Team - BC1/BC2,Gold Medal
Thailand,THA,SAENGAMPA Worawut,Boccia,BOC,Team - BC1/BC2,Gold Medal
Thailand,THA,TIPMANEE Subin,Boccia,BOC,Team - BC1/BC2,Gold Medal
Thailand,THA,VONGSA Watcharaphon,Boccia,BOC,Team - BC1/BC2,Gold Medal
Hungary,HUN,KISS Peter,Canoe Sprint,CSP,Men's Kayak Single 200m - KL1,Gold Medal
Australia,AUS,McGRATH Curtis,Canoe Sprint,CSP,Men's Kayak Single 200m - KL2,Gold Medal
Ukraine,UKR,YEMELIANOV Serhii,Canoe Sprint,CSP,Men's Kayak Single 200m - KL3,Gold Medal
Brazil,BRA,RUFINO de PAULO Fernando,Canoe Sprint,CSP,Men's Va'a Single 200m - VL2,Gold Medal
Australia,AUS,McGRATH Curtis,Canoe Sprint,CSP,Men's Va'a Single 200m - VL3,Gold Medal
Germany,GER,MUELLER Edina,Canoe Sprint,CSP,Women's Kayak Single 200m - KL1,Gold Medal
Great Britain,GBR,HENSHAW Charlotte,Canoe Sprint,CSP,Women's Kayak Single 200m - KL2,Gold Medal
Great Britain,GBR,SUGAR Laura,Canoe Sprint,CSP,Women's Kayak Single 200m - KL3,Gold Medal
Great Britain,GBR,WIGGS Emma,Canoe Sprint,CSP,Women's Va'a Single 200m - VL2,Gold Medal
France,FRA,JOUANNY Florian,Cycling Road,CRD,Men's H1-2 Road Race,Gold Medal
People's Republic of China,CHN,CHEN Jianxin,Cycling Road,CRD,Men's T1-2 Road Race,Gold Medal
RPC,RPC,KUZNETSOV Ruslan,Cycling Road,CRD,Men's H3 Road Race,Gold Medal
Great Britain,GBR,WATSON Benjamin,Cycling Road,CRD,Men's C1-3 Road Race,Gold Medal
Netherlands,NED,ter SCHURE Vincent,Cycling Road,CRD,Men's B Road Race,Gold Medal
Netherlands,NED,PLAT Jetze,Cycling Road,CRD,Men's H4 Road Race,Gold Medal
Netherlands,NED,VALIZE Mitch,Cycling Road,CRD,Men's H5 Road Race,Gold Medal
France,FRA,le CUNFF Kevin,Cycling Road,CRD,Men's C4-5 Road Race,Gold Medal
RPC,RPC,ASTASHOV Mikhail,Cycling Road,CRD,Men's C1 Time Trial,Gold Medal
South Africa,RSA,du PREEZ Nicolas Pieter,Cycling Road,CRD,Men's H1 Time Trial,Gold Medal
Australia,AUS,HICKS Darren,Cycling Road,CRD,Men's C2 Time Trial,Gold Medal
Spain,ESP,GARROTE MUNOZ Sergio,Cycling Road,CRD,Men's H2 Time Trial,Gold Medal
People's Republic of China,CHN,CHEN Jianxin,Cycling Road,CRD,Men's T1-2 Time Trial,Gold Medal
Great Britain,GBR,WATSON Benjamin,Cycling Road,CRD,Men's C3 Time Trial,Gold Medal
Austria,AUT,ABLINGER Walter,Cycling Road,CRD,Men's H3 Time Trial,Gold Medal
France,FRA,LLOVERAS Alexandre,Cycling Road,CRD,Men's B Time Trial,Gold Medal
Slovakia,SVK,KURIL Patrik,Cycling Road,CRD,Men's C4 Time Trial,Gold Medal
Netherlands,NED,PLAT Jetze,Cycling Road,CRD,Men's H4 Time Trial,Gold Medal
Netherlands,NED,ABRAHAM GEBRU Daniel,Cycling Road,CRD,Men's C5 Time Trial,Gold Medal
Netherlands,NED,VALIZE Mitch,Cycling Road,CRD,Men's H5 Time Trial,Gold Medal
Italy,ITA,CECCHETTO Paolo,Cycling Road,CRD,Mixed H1-5 Team Relay,Gold Medal
Italy,ITA,COLOMBARI Diego,Cycling Road,CRD,Mixed H1-5 Team Relay,Gold Medal
Italy,ITA,MAZZONE Luca,Cycling Road,CRD,Mixed H1-5 Team Relay,Gold Medal
Germany,GER,MAJUNKE Jana,Cycling Road,CRD,Women's T1-2 Road Race,Gold Medal
Japan,JPN,SUGIURA Keiko,Cycling Road,CRD,Women's C1-3 Road Race,Gold Medal
Ireland,IRL,DUNLEVY Katie-George,Cycling Road,CRD,Women's B Road Race,Gold Medal
Netherlands,NED,JANSEN Jennette,Cycling Road,CRD,Women's H1-4 Road Race,Gold Medal
United States of America,USA,MASTERS Oksana,Cycling Road,CRD,Women's H5 Road Race,Gold Medal
Great Britain,GBR,STOREY Sarah,Cycling Road,CRD,Women's C4-5 Road Race,Gold Medal
Germany,GER,MAJUNKE Jana,Cycling Road,CRD,Women's T1-2 Time Trial,Gold Medal
Japan,JPN,SUGIURA Keiko,Cycling Road,CRD,Women's C1-3 Time Trial,Gold Medal
Ireland,IRL,DUNLEVY Katie-George,Cycling Road,CRD,Women's B Time Trial,Gold Medal
Germany,GER,ZEYEN Annika,Cycling Road,CRD,Women's H1-3 Time Trial,Gold Medal
United States of America,USA,MORELLI Shawn,Cycling Road,CRD,Women's C4 Time Trial,Gold Medal
United States of America,USA,MASTERS Oksana,Cycling Road,CRD,Women's H4-5 Time Trial,Gold Medal
Great Britain,GBR,STOREY Sarah,Cycling Road,CRD,Women's C5 Time Trial,Gold Medal
People's Republic of China,CHN,LI Zhangyu,Cycling Track,CTR,Men's C1-3 1000m Time Trial,Gold Medal
Great Britain,GBR,FACHIE Neil,Cycling Track,CTR,Men's B 1000m Time Trial,Gold Medal
Spain,ESP,CABELLO LLAMAS Alfonso,Cycling Track,CTR,Men's C4-5 1000m Time Trial,Gold Medal
RPC,RPC,ASTASHOV Mikhail,Cycling Track,CTR,Men's C1 3000m Individual Pursuit,Gold Medal
France,FRA,LEAUTE Alexandre,Cycling Track,CTR,Men's C2 3000m Individual Pursuit,Gold Medal
Great Britain,GBR,van GASS Jaco,Cycling Track,CTR,Men's C3 3000m Individual Pursuit,Gold Medal
Netherlands,NED,BANGMA Tristan,Cycling Track,CTR,Men's B 4000m Individual Pursuit,Gold Medal
Slovakia,SVK,METELKA Jozef,Cycling Track,CTR,Men's C4 4000m Individual Pursuit,Gold Medal
France,FRA,FOULON Dorian,Cycling Track,CTR,Men's C5 4000m Individual Pursuit,Gold Medal
Great Britain,GBR,COX Kadeena,Cycling Track,CTR,Mixed C1-5 750m Team Sprint,Gold Medal
Great Britain,GBR,CUNDY Jody,Cycling Track,CTR,Mixed C1-5 750m Team Sprint,Gold Medal
Great Britain,GBR,van GASS Jaco,Cycling Track,CTR,Mixed C1-5 750m Team Sprint,Gold Medal
Australia,AUS,REID Amanda,Cycling Track,CTR,Women's C1-3 500m Time Trial,Gold Medal
Great Britain,GBR,COX Kadeena,Cycling Track,CTR,Women's C4-5 500m Time Trial,Gold Medal
Netherlands,NED,KLAASSEN Larissa,Cycling Track,CTR,Women's B 1000m Time Trial,Gold Medal
Australia,AUS,GRECO Paige,Cycling Track,CTR,Women's C1-3 3000m Individual Pursuit,Gold Medal
Great Britain,GBR,FACHIE Lora,Cycling Track,CTR,Women's B 3000m Individual Pursuit,Gold Medal
Australia,AUS,PETRICOLA Emily,Cycling Track,CTR,Women's C4 3000m Individual Pursuit,Gold Medal
Great Britain,GBR,DAME STOREY Sarah,Cycling Track,CTR,Women's C5 3000m Individual Pursuit,Gold Medal
United States of America,USA,TRUNNELL Roxanne,Equestrian,EQU,Individual Test - Grade I,Gold Medal
Great Britain,GBR,PEARSON Lee,Equestrian,EQU,Individual Test - Grade II,Gold Medal
Denmark,DEN,JORGENSEN Tobias Thorning,Equestrian,EQU,Individual Test - Grade III,Gold Medal
Netherlands,NED,VOETS Sanne,Equestrian,EQU,Individual Test - Grade IV,Gold Medal
Belgium,BEL,GEORGE Michele,Equestrian,EQU,Individual Test - Grade V,Gold Medal
