,Name,Sex,Age,Team,Games,Year,Season,Sport,Medal
92,AL-AGEELI Faris,Male,46,Iraq,2020 Summer,2020,Summer,Powerlifting,1
93,AL-DARRAJI Ali,Male,39,Iraq,2020 Summer,2020,Summer,Powerlifting,0
94,AL-MADHKHOORI Zainulabdeen,Male,29,Iraq,2020 Summer,2020,Summer,Wheelchair Fencing,0
95,AL-MAJIDI Hanan,Female,30,Iraq,2020 Summer,2020,Summer,Powerlifting,0
96,AL-OGAILI Hayder,Male,27,Iraq,2020 Summer,2020,Summer,Wheelchair Fencing,0
97,AL-RIKABI Ali,Male,27,Iraq,2020 Summer,2020,Summer,Athletics,0
98,AL-SAEDI Zaman,Female,38,Iraq,2020 Summer,2020,Summer,Archery,0
99,ALAMAR GARCIA Sergio,Male,20,Spain,2020 Summer,2020,Summer,Football 5-a-side,0
100,ALARYANI Abdulla Saif,Male,45,United Arab Emirates,2020 Summer,2020,Summer,Shooting,0
101,ALARYANI Abdulla Sultan,Male,50,United Arab Emirates,2020 Summer,2020,Summer,Shooting,3
102,ALBERTSDOTTIR Arna,Female,30,Iceland,2020 Summer,2020,Summer,Cycling Road,0
103,ALBRECHT Dominik,Male,33,Germany,2020 Summer,2020,Summer,Sitting Volleyball,0
104,ALBRECHT Jens Eicke,Male,29,Germany,2020 Summer,2020,Summer,Wheelchair Basketball,0
105,ALBURY Simon,Male,38,Australia,2020 Summer,2020,Summer,Rowing,0
106,ALCALDE RODRIGUEZ Roberto,Male,29,Brazil,2020 Summer,2020,Summer,Swimming,0
107,ALCAZAR FIGUEROA Matilde Estefania,Female,25,Mexico,2020 Summer,2020,Summer,Swimming,0
108,ALCOBA MEMBRILLA Maria Montserrat,Female,39,Spain,2020 Summer,2020,Summer,Powerlifting,0
109,ALCOTT Dylan,Male,30,Australia,2020 Summer,2020,Summer,Wheelchair Tennis,3
110,ALDAYYENI Najlah,Female,16,Iraq,2020 Summer,2020,Summer,Table Tennis,0
111,ALEJOS ALONSO Agustin,Male,33,Spain,2020 Summer,2020,Summer,Wheelchair Basketball,0
112,ALENCON Katell,Female,34,France,2020 Summer,2020,Summer,Cycling Road,0
113,ALEXANDER Natalie,Female,30,Australia,2020 Summer,2020,Summer,Wheelchair Basketball,0
114,ALGANAIDL Fahad,Male,36,Saudi Arabia,2020 Summer,2020,Summer,Athletics,0
115,ALHAJAJ Tharwh Tayseer Hamdan,Female,48,Jordan,2020 Summer,2020,Summer,Powerlifting,0
116,ALHAMMADI Mohamed,Male,35,United Arab Emirates,2020 Summer,2020,Summer,Athletics,2
117,ALHASAN Fatema,Female,43,Syrian Arab Republic,2020 Summer,2020,Summer,Powerlifting,0
